heartrate,watts
114,131.0
114,144.0
113,143.0
113,185.0
112,163.0
113,169.0
113,160.0
113,145.0
113,165.0
113,157.0
114,165.0
114,155.0
113,157.0
113,172.0
113,183.0
114,169.0
115,166.0
116,185.0
117,180.0
118,176.0
119,177.0
120,177.0
119,182.0
118,192.0
117,184.0
117,171.0
116,178.0
116,169.0
117,167.0
117,169.0
118,181.0
119,179.0
120,176.0
121,163.0
121,175.0
121,180.0
122,175.0
122,179.0
121,186.0
122,175.0
123,200.0
123,172.0
125,172.0
125,180.0
125,180.0
125,172.0
125,167.0
125,181.0
125,181.0
125,186.0
125,181.0
124,181.0
124,181.0
125,169.0
125,168.0
125,168.0
126,177.0
126,177.0
125,180.0
126,186.0
125,191.0
126,173.0
125,221.0
125,209.0
124,216.0
125,195.0
125,163.0
125,172.0
124,182.0
123,177.0
123,171.0
123,176.0
123,179.0
123,186.0
123,182.0
123,166.0
123,175.0
123,175.0
124,172.0
123,188.0
123,189.0
124,181.0
124,181.0
123,151.0
123,252.0
123,258.0
124,237.0
124,198.0
124,194.0
124,212.0
125,198.0
126,189.0
126,209.0
126,200.0
126,221.0
126,202.0
126,186.0
127,187.0
127,185.0
128,194.0
128,199.0
128,198.0
129,196.0
129,220.0
129,193.0
129,167.0
130,180.0
130,193.0
130,198.0
130,181.0
130,181.0
130,188.0
130,193.0
130,132.0
131,142.0
131,134.0
130,141.0
129,122.0
129,165.0
127,175.0
126,140.0
125,179.0
125,154.0
126,185.0
126,204.0
126,174.0
125,167.0
125,177.0
124,172.0
123,166.0
122,167.0
122,168.0
121,168.0
121,172.0
122,167.0
122,168.0
122,150.0
123,149.0
123,164.0
123,145.0
123,145.0
123,161.0
123,140.0
122,80.0
122,104.0
122,80.0
122,55.0
123,74.0
124,74.0
123,66.0
123,146.0
122,182.0
121,236.0
121,236.0
121,275.0
121,171.0
121,119.0
121,155.0
122,155.0
122,161.0
122,139.0
122,179.0
122,183.0
122,183.0
122,187.0
122,169.0
123,152.0
123,168.0
124,176.0
124,171.0
124,195.0
124,168.0
125,163.0
126,166.0
126,177.0
126,183.0
126,181.0
125,180.0
125,167.0
124,149.0
124,177.0
123,182.0
123,195.0
122,191.0
122,176.0
123,185.0
124,176.0
124,152.0
124,166.0
123,155.0
123,179.0
122,192.0
122,203.0
122,157.0
122,148.0
123,166.0
124,168.0
125,172.0
126,187.0
126,212.0
126,187.0
127,197.0
126,180.0
126,179.0
127,168.0
127,178.0
127,167.0
127,171.0
126,171.0
126,152.0
125,180.0
125,178.0
125,161.0
125,177.0
126,164.0
126,151.0
127,183.0
127,173.0
127,165.0
128,176.0
128,155.0
128,151.0
128,173.0
128,175.0
127,175.0
127,149.0
127,165.0
126,146.0
127,157.0
127,151.0
126,110.0
126,130.0
126,161.0
126,153.0
125,153.0
125,150.0
124,132.0
124,133.0
124,214.0
123,214.0
123,212.0
123,180.0
123,158.0
123,157.0
123,183.0
124,198.0
124,192.0
124,149.0
124,149.0
125,137.0
125,131.0
126,146.0
126,167.0
127,150.0
126,151.0
126,145.0
126,134.0
125,150.0
125,80.0
125,138.0
124,142.0
123,142.0
123,136.0
123,140.0
123,140.0
123,86.0
123,119.0
123,136.0
124,120.0
124,133.0
124,135.0
123,120.0
123,119.0
122,140.0
122,136.0
123,129.0
123,135.0
124,144.0
124,142.0
124,131.0
124,154.0
123,154.0
123,157.0
123,157.0
122,163.0
122,163.0
122,98.0
122,124.0
122,127.0
122,127.0
123,137.0
123,135.0
122,138.0
123,143.0
122,133.0
123,127.0
123,141.0
123,134.0
123,141.0
123,143.0
123,134.0
123,138.0
122,142.0
122,136.0
123,143.0
122,134.0
123,124.0
123,109.0
122,119.0
123,63.0
123,116.0
123,109.0
123,97.0
123,136.0
123,139.0
123,141.0
124,131.0
124,150.0
124,139.0
124,41.0
123,80.0
123,102.0
123,96.0
121,94.0
121,89.0
119,101.0
118,122.0
117,102.0
118,87.0
117,79.0
117,60.0
117,108.0
117,82.0
117,79.0
116,79.0
116,70.0
116,0.0
116,0.0
117,0.0
115,0.0
115,0.0
114,0.0
113,0.0
113,0.0
113,0.0
113,0.0
113,0.0
111,74.0
110,169.0
109,195.0
109,136.0
109,144.0
109,141.0
109,115.0
109,109.0
107,126.0
106,105.0
106,85.0
105,105.0
106,83.0
106,5.0
107,5.0
107,5.0
107,41.0
107,113.0
108,0.0
108,0.0
107,0.0
107,0.0
105,1.0
103,87.0
103,129.0
103,133.0
104,139.0
105,121.0
106,100.0
107,82.0
107,117.0
107,154.0
108,176.0
108,148.0
109,122.0
111,152.0
111,141.0
113,144.0
114,103.0
114,97.0
113,93.0
112,95.0
111,172.0
110,138.0
109,167.0
110,164.0
110,148.0
111,147.0
112,138.0
113,141.0
114,133.0
114,118.0
115,152.0
115,127.0
115,114.0
115,108.0
115,119.0
116,112.0
115,118.0
115,101.0
115,113.0
115,112.0
115,86.0
115,76.0
114,77.0
113,99.0
114,101.0
113,108.0
113,142.0
114,158.0
114,179.0
114,182.0
114,129.0
115,165.0
114,161.0
114,150.0
115,148.0
115,126.0
115,157.0
115,168.0
116,155.0
117,153.0
118,133.0
119,152.0
120,139.0
120,156.0
121,156.0
121,168.0
122,175.0
123,162.0
123,145.0
123,178.0
124,168.0
124,172.0
124,162.0
123,163.0
123,179.0
122,170.0
121,158.0
121,147.0
121,165.0
122,176.0
122,152.0
122,156.0
122,156.0
122,138.0
122,159.0
122,142.0
122,143.0
122,126.0
121,145.0
122,169.0
122,160.0
122,131.0
122,122.0
122,158.0
122,158.0
123,135.0
124,150.0
124,149.0
125,157.0
125,152.0
125,134.0
125,110.0
124,132.0
123,150.0
123,144.0
122,143.0
121,134.0
120,153.0
120,153.0
121,155.0
121,132.0
122,136.0
123,139.0
123,139.0
123,166.0
124,165.0
124,206.0
124,134.0
123,141.0
123,150.0
123,132.0
123,144.0
123,130.0
123,159.0
123,138.0
123,116.0
124,134.0
124,131.0
123,149.0
123,132.0
122,137.0
121,126.0
120,128.0
120,131.0
120,132.0
120,160.0
119,225.0
119,187.0
120,161.0
120,126.0
120,129.0
121,114.0
123,125.0
124,116.0
124,111.0
124,0.0
124,0.0
123,0.0
122,7.0
121,146.0
121,292.0
121,218.0
121,153.0
121,151.0
121,116.0
121,116.0
121,79.0
120,89.0
120,89.0
120,90.0
120,255.0
121,211.0
121,183.0
122,170.0
122,162.0
122,138.0
123,133.0
122,109.0
122,1.0
122,1.0
121,1.0
122,0.0
123,0.0
123,0.0
123,0.0
123,0.0
123,68.0
123,6.0
123,75.0
123,191.0
122,259.0
120,235.0
120,231.0
120,178.0
119,183.0
117,156.0
117,162.0
116,172.0
115,166.0
115,166.0
116,146.0
116,169.0
116,178.0
117,158.0
117,160.0
117,151.0
117,158.0
118,161.0
118,159.0
119,147.0
120,168.0
120,176.0
119,183.0
120,185.0
121,181.0
121,163.0
122,170.0
124,157.0
124,148.0
125,156.0
125,163.0
125,153.0
126,168.0
126,170.0
126,172.0
126,167.0
126,179.0
126,156.0
126,149.0
125,145.0
125,170.0
125,174.0
125,164.0
125,122.0
125,116.0
124,112.0
124,176.0
125,154.0
125,144.0
125,130.0
125,143.0
125,129.0
125,117.0
125,118.0
125,133.0
126,117.0
127,138.0
127,124.0
129,119.0
130,124.0
130,120.0
131,120.0
131,120.0
131,118.0
129,102.0
127,204.0
125,204.0
124,130.0
123,111.0
122,114.0
122,125.0
122,149.0
121,119.0
121,129.0
121,129.0
122,104.0
121,97.0
121,102.0
121,107.0
121,92.0
120,142.0
119,116.0
118,124.0
116,171.0
115,171.0
115,144.0
115,137.0
115,141.0
116,146.0
117,121.0
117,154.0
117,130.0
118,117.0
117,126.0
116,123.0
115,140.0
115,128.0
116,122.0
116,155.0
116,159.0
