,heartrate,watts
0,112,190.0
1,113,173.0
2,113,169.0
3,113,172.0
4,114,184.0
5,113,180.0
6,113,169.0
7,113,195.0
8,113,179.0
9,114,165.0
10,114,187.0
11,114,182.0
12,115,182.0
13,115,156.0
14,116,174.0
15,116,167.0
16,117,150.0
17,118,146.0
18,118,140.0
19,119,157.0
20,120,159.0
21,121,155.0
22,122,156.0
23,122,156.0
24,122,185.0
25,122,177.0
26,123,161.0
27,123,185.0
28,123,163.0
29,124,178.0
30,124,190.0
31,125,199.0
32,125,183.0
33,125,191.0
34,126,193.0
35,126,200.0
36,126,174.0
37,126,211.0
38,125,184.0
39,124,193.0
40,124,174.0
41,123,191.0
42,123,193.0
43,122,193.0
44,122,185.0
45,121,183.0
46,121,186.0
47,122,181.0
48,122,176.0
49,122,177.0
50,122,174.0
51,122,177.0
52,123,178.0
53,123,186.0
54,124,192.0
55,124,201.0
56,124,195.0
57,125,191.0
58,125,194.0
59,125,189.0
60,125,196.0
61,125,197.0
62,125,204.0
63,125,201.0
64,125,176.0
65,125,174.0
66,125,191.0
67,125,213.0
68,125,205.0
69,125,192.0
70,125,194.0
71,126,184.0
72,126,189.0
73,127,190.0
74,127,188.0
75,127,181.0
76,127,190.0
77,127,186.0
78,126,198.0
79,126,186.0
80,126,189.0
81,126,197.0
82,126,200.0
83,125,193.0
84,125,200.0
85,125,204.0
86,125,172.0
87,124,185.0
88,125,194.0
89,125,192.0
90,125,192.0
91,125,189.0
92,126,189.0
93,125,193.0
94,126,189.0
95,126,191.0
96,126,188.0
97,126,203.0
98,125,203.0
99,125,199.0
100,125,195.0
101,125,196.0
102,124,201.0
103,124,194.0
104,124,193.0
105,123,197.0
106,124,197.0
107,123,197.0
108,123,203.0
109,123,211.0
110,123,213.0
111,124,208.0
112,124,208.0
113,124,193.0
114,125,179.0
115,125,180.0
116,125,187.0
117,124,202.0
118,124,217.0
119,124,217.0
120,124,216.0
121,123,195.0
122,124,194.0
123,124,213.0
124,125,199.0
125,125,193.0
126,126,189.0
127,126,194.0
128,127,200.0
129,127,201.0
130,127,204.0
131,127,210.0
132,126,192.0
133,126,193.0
134,127,191.0
135,127,189.0
136,127,174.0
137,127,190.0
138,127,197.0
139,127,195.0
140,127,198.0
141,127,204.0
142,127,192.0
143,128,191.0
144,128,207.0
145,127,196.0
146,128,196.0
147,128,202.0
148,127,208.0
149,128,192.0
150,127,187.0
151,127,191.0
152,127,193.0
153,128,197.0
154,128,201.0
155,128,200.0
156,127,203.0
157,128,199.0
158,128,162.0
159,128,81.0
160,127,88.0
161,127,74.0
162,126,0.0
163,125,0.0
164,124,0.0
165,123,0.0
166,123,0.0
167,123,0.0
168,108,
169,107,328.0
170,108,305.0
171,109,237.0
172,110,231.0
173,111,243.0
174,112,187.0
175,113,266.0
176,114,266.0
177,115,280.0
178,116,270.0
179,117,217.0
180,117,200.0
181,118,206.0
182,119,199.0
183,121,223.0
184,121,195.0
185,122,206.0
186,123,205.0
187,124,190.0
188,124,198.0
189,125,194.0
190,126,188.0
191,127,205.0
192,127,220.0
193,127,278.0
194,127,245.0
195,127,230.0
196,128,208.0
197,128,205.0
198,129,190.0
199,129,189.0
200,130,212.0
201,131,226.0
202,131,234.0
203,132,218.0
204,132,223.0
205,133,225.0
206,132,218.0
207,132,224.0
208,133,221.0
209,133,201.0
210,133,216.0
211,133,202.0
212,133,192.0
213,133,209.0
214,134,198.0
215,134,198.0
216,134,207.0
217,134,200.0
218,134,201.0
219,135,202.0
220,135,207.0
221,135,191.0
222,134,206.0
223,134,204.0
224,134,204.0
225,135,207.0
226,135,182.0
227,135,209.0
228,136,220.0
229,136,212.0
230,136,213.0
231,136,209.0
232,137,210.0
233,137,199.0
234,137,206.0
235,137,230.0
236,137,248.0
237,137,220.0
238,137,207.0
239,136,214.0
240,136,239.0
241,136,5.0
242,135,5.0
243,134,5.0
244,133,0.0
245,133,0.0
246,132,0.0
247,131,0.0
248,130,0.0
249,129,0.0
250,73,
251,73,190.0
252,73,162.0
253,73,19.0
254,73,81.0
255,73,83.0
256,73,65.0
257,73,46.0
258,79,37.0
259,86,20.0
260,93,9.0
261,98,10.0
262,102,9.0
263,106,45.0
264,109,7.0
265,112,29.0
266,115,28.0
267,117,7.0
268,119,49.0
269,121,40.0
270,123,32.0
271,124,24.0
272,125,12.0
273,126,17.0
274,127,39.0
275,127,15.0
276,127,38.0
277,127,13.0
278,127,3.0
279,128,9.0
280,127,9.0
281,127,15.0
282,128,63.0
283,128,38.0
284,128,0.0
285,127,0.0
286,127,0.0
287,126,0.0
288,125,0.0
289,123,0.0
290,122,0.0
291,121,0.0
292,121,0.0
293,119,0.0
294,118,0.0
295,94,
296,96,293.0
297,99,372.0
298,102,326.0
299,105,268.0
300,105,255.0
301,107,157.0
302,109,173.0
303,110,249.0
304,112,211.0
305,114,156.0
306,115,190.0
307,117,152.0
308,118,192.0
309,120,188.0
310,122,152.0
311,122,164.0
312,123,169.0
313,124,160.0
